"Pays","Articles","Elements","1961",flag,"1962",flag,"1963",flag,"1964",flag,"1965",flag,"1966",flag,"1967",flag,"1968",flag,"1969",flag,"1970",flag,"1971",flag,"1972",flag,"1973",flag,"1974",flag,"1975",flag,"1976",flag,"1977",flag,"1978",flag,"1979",flag,"1980",flag,"1981",flag,"1982",flag,"1983",flag,"1984",flag,"1985",flag,"1986",flag,"1987",flag,"1988",flag,"1989",flag,"1990",flag,"1991",flag,"1992",flag,"1993",flag,"1994",flag,"1995",flag,"1996",flag,"1997",flag,"1998",flag,"1999",flag,"2000",flag,"2001",flag,"2002",flag,"2003",flag,"2004",flag,"2005",flag,"2006",flag,"2007",flag,"2008",flag,"2009",flag,"2010",flag,"2011",flag,"2012",flag,
"Sénégal","Viande cheval","Production (tonnes)","1250","Fc","1350","Fc","1500","Fc","2125","Fc","2225","Fc","2437.5","Fc","2375","Fc","2712.5","Fc","2587.5","Fc","2725","Fc","2712.5","Fc","2912.5","Fc","2787.5","Fc","2750","Fc","2812.5","Fc","2837.5","Fc","2875","Fc","3000","Fc","2812.5","Fc","2500","Fc","2525","Fc","2550","Fc","2600","Fc","2750","Fc","4062.5","Fc","3925","Fc","4250","Fc","4750","Fc","5350","Fc","6050","Fc","6250","Fc","5937.5","Fc","5950","Fc","5962.5","Fc","5962.5","Fc","6000","Fc","6106.25","Fc","6125","Fc","6125","Fc","6475","Fc","6750","Fc","6821.25","Fc","6878.13","Fc","6937.5","Fc","7000","Fc","7062.5","Fc","7162.5","Fc","7198.75","Fc","7208.75","Fc","7312.5","Fc","7250","Fc","7250","Fc",
"Sénégal","Viande âne","Animaux Producteurs/Abbatus (Tête)","6500","F","8100","F","8400","F","14100","F","14700","F","16100","F","16600","F","17900","F","17800","F","18500","F","19000","F","18600","F","18600","F","19000","F","19600","F","20400","F","21000","F","23000","F","23600","F","23800","F","20300","F","20600","F","20800","F","20900","F","20600","F","20400","F","20000","F","28600","F","30000","F","31000","F","32800","F","36400","F","36600","F","36600","F","36600","F","36700","F","37500","F","37500","F","37700","F","39900","F","40700","F","40000","F","40000","F","41150","F","41600","F","41800","F","43800","F","44200","F","47800","F","50000","F","52000","F","52000","F",
"Sénégal","Viande âne","Rendement/Poids Carcasse (Hg/An)","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc",
"Sénégal","Viande âne","Production (tonnes)","390","Fc","486","Fc","504","Fc","846","Fc","882","Fc","966","Fc","996","Fc","1074","Fc","1068","Fc","1110","Fc","1140","Fc","1116","Fc","1116","Fc","1140","Fc","1176","Fc","1224","Fc","1260","Fc","1380","Fc","1416","Fc","1428","Fc","1218","Fc","1236","Fc","1248","Fc","1254","Fc","1236","Fc","1224","Fc","1200","Fc","1716","Fc","1800","Fc","1860","Fc","1968","Fc","2184","Fc","2196","Fc","2196","Fc","2196","Fc","2202","Fc","2250","Fc","2250","Fc","2262","Fc","2394","Fc","2442","Fc","2400","Fc","2400","Fc","2469","Fc","2496","Fc","2508","Fc","2628","Fc","2652","Fc","2868","Fc","3000","Fc","3120","Fc","3120","Fc",
"Sénégal","Viande indigène cheval","Production (Tête)","9295","F","10006","F","11125","F","15700","F","16757","F","18532","F","18504","F","19136","F","19698","F","19861","F","20517","F","20694","F","19954","F","20544","F","21054","F","22698","F","22999","F","23992","F","22490","F","19994","F","20202","F","20421","F","20800","F","22001","F","32499","F","31398","F","33999","F","37982","F","42800","F","48400","F","50000","F","47500","F","47606","F","47700","F","47680","F","47990","F","48842","F","48953","F","48985","F","51794","F","53965","F","54560","F","55015","F","55473","F","55975","F","56457","F","57265","F","57544","F","57618","F","58530","F","58000","F","58000","F",
"Sénégal","Viande indigène cheval","Rendement/Poids Carcasse (Hg/An)","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc",
"Sénégal","Viande indigène cheval","Production (tonnes)","1161.88","Fc","1250.75","Fc","1390.63","Fc","1962.5","Fc","2094.63","Fc","2316.5","Fc","2313","Fc","2392","Fc","2462.25","Fc","2482.63","Fc","2564.63","Fc","2586.75","Fc","2494.25","Fc","2568","Fc","2631.75","Fc","2837.25","Fc","2874.88","Fc","2999","Fc","2811.25","Fc","2499.25","Fc","2525.25","Fc","2552.63","Fc","2600","Fc","2750.13","Fc","4062.38","Fc","3924.75","Fc","4249.88","Fc","4747.75","Fc","5350","Fc","6050","Fc","6250","Fc","5937.5","Fc","5950.75","Fc","5962.5","Fc","5960","Fc","5998.75","Fc","6105.25","Fc","6119.13","Fc","6123.13","Fc","6474.25","Fc","6745.63","Fc","6820","Fc","6876.88","Fc","6934.13","Fc","6996.88","Fc","7057.13","Fc","7158.13","Fc","7193","Fc","7202.25","Fc","7316.25","Fc","7250","Fc","7250","Fc",
"Sénégal","Viande indigène âne","Production (Tête)","6500","F","8100","F","8400","F","14100","F","14700","F","16100","F","16600","F","17900","F","17800","F","18500","F","19000","F","18600","F","18644","F","18944","F","19600","F","20400","F","21002","F","23000","F","23600","F","23800","F","20300","F","20600","F","20800","F","20900","F","20600","F","20400","F","20000","F","28600","F","30000","F","31000","F","32800","F","36400","F","36600","F","36600","F","36600","F","36700","F","37500","F","37500","F","37700","F","39900","F","40700","F","40000","F","40000","F","41150","F","41600","F","41800","F","43800","F","44200","F","47800","F","50000","F","52000","F","52000","F",
"Sénégal","Viande indigène âne","Rendement/Poids Carcasse (Hg/An)","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc","600","Fc",
"Sénégal","Viande indigène âne","Production (tonnes)","390","Fc","486","Fc","504","Fc","846","Fc","882","Fc","966","Fc","996","Fc","1074","Fc","1068","Fc","1110","Fc","1140","Fc","1116","Fc","1118.64","Fc","1136.64","Fc","1176","Fc","1224","Fc","1260.12","Fc","1380","Fc","1416","Fc","1428","Fc","1218","Fc","1236","Fc","1248","Fc","1254","Fc","1236","Fc","1224","Fc","1200","Fc","1716","Fc","1800","Fc","1860","Fc","1968","Fc","2184","Fc","2196","Fc","2196","Fc","2196","Fc","2202","Fc","2250","Fc","2250","Fc","2262","Fc","2394","Fc","2442","Fc","2400","Fc","2400","Fc","2469","Fc","2496","Fc","2508","Fc","2628","Fc","2652","Fc","2868","Fc","3000","Fc","3120","Fc","3120","Fc",
"Sénégal","Viande camélidé","Animaux Producteurs/Abbatus (Tête)","42","F","142","F","40","F","405","F","450","F","495","F","165","F","125","F","102","F","105","F","105","F","80","F","85","F","85","F","90","F","90","F","105","F","105","F","90","F","90","F","90","F","95","F","95","F","90","F","90","F","105","F","105","F","225","F","105","F","75","F","75","F","75","F","75","F","75","F","75","F","75","F","60","F","60","F","39"," ","48"," ","52"," ","60"," ","68"," ","69"," ","69"," ","62"," ","66"," ","69"," ","70"," ","71"," ","71"," ","92","F",
"Sénégal","Viande camélidé","Rendement/Poids Carcasse (Hg/An)","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1538.46","Fc","1458.33","Fc","1346.15","Fc","1500","Fc","1470.59","Fc","1884.06","Fc","1449.28","Fc","1290.32","Fc","1818.18","Fc","2028.99","Fc","1857.14","Fc","1971.83","Fc","1971.83","Fc","1956.52","Fc",
"Sénégal","Viande camélidé","Production (tonnes)","6.3","Fc","21.3","Fc","6","Fc","60.75","Fc","67.5","Fc","74.25","Fc","24.75","Fc","18.75","Fc","15.3","Fc","15.75","Fc","15.75","Fc","12","Fc","12.75","Fc","12.75","Fc","13.5","Fc","13.5","Fc","15.75","Fc","15.75","Fc","13.5","Fc","13.5","Fc","13.5","Fc","14.25","Fc","14.25","Fc","13.5","Fc","13.5","Fc","15.75","Fc","15.75","Fc","33.75","Fc","15.75","Fc","11.25","Fc","11.25","Fc","11.25","Fc","11.25","Fc","11.25","Fc","11.25","Fc","11.25","Fc","9","Fc","9","Fc","6"," ","7"," ","7"," ","9"," ","10"," ","13"," ","10"," ","8"," ","12"," ","14"," ","13"," ","14"," ","14"," ","18"," ",
"Sénégal","Viande indigène camélidés","Production (Tête)","42","F","142","F","40","F","405","F","450","F","495","F","165","F","125","F","102","F","105","F","105","F","80","F","85","F","85","F","90","F","90","F","105","F","105","F","90","F","90","F","90","F","95","F","95","F","90","F","90","F","105","F","105","F","225","F","105","F","75","F","75","F","75","F","75","F","75","F","75","F","75","F","60","F","60","F","39"," ","48"," ","52"," ","60"," ","68"," ","69"," ","69"," ","62"," ","66"," ","69"," ","70"," ","71"," ","71"," ","92","F",
"Sénégal","Viande indigène camélidés","Rendement/Poids Carcasse (Hg/An)","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1500","Fc","1538","Fc","1458","Fc","1346","Fc","1500","Fc","1471","Fc","1884","Fc","1449","Fc","1290","Fc","1818","Fc","2029","Fc","1857","Fc","1972","Fc","1972","Fc","1957","Fc",
"Sénégal","Viande indigène camélidés","Production (tonnes)","6.3","Fc","21.3","Fc","6","Fc","60.75","Fc","67.5","Fc","74.25","Fc","24.75","Fc","18.75","Fc","15.3","Fc","15.75","Fc","15.75","Fc","12","Fc","12.75","Fc","12.75","Fc","13.5","Fc","13.5","Fc","15.75","Fc","15.75","Fc","13.5","Fc","13.5","Fc","13.5","Fc","14.25","Fc","14.25","Fc","13.5","Fc","13.5","Fc","15.75","Fc","15.75","Fc","33.75","Fc","15.75","Fc","11.25","Fc","11.25","Fc","11.25","Fc","11.25","Fc","11.25","Fc","11.25","Fc","11.25","Fc","9","Fc","9","Fc","5.9982","Fc","6.9984","Fc","6.9992","Fc","9","Fc","10.0028","Fc","12.9996","Fc","9.9981","Fc","7.998","Fc","11.9988","Fc","14.0001","Fc","12.999","Fc","14.0012","Fc","14.0012","Fc","18.0044","Fc",
"Sénégal","Viande gibier","Production (tonnes)","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","50","F","48","Im","49","Im","50","Im","56","Im","60","Im","61","Im","63","Im","66","Im","67","Im","68","Im","71","Im","66"," ","77"," ","88"," ","76"," ","84"," ","60"," ","50","F","58","Im","62","Im","70","Im","70","F","70","F",
"Sénégal","Viande nda","Production (tonnes)","2500","F","2550","F","2600","F","2650","F","2700","F","2800","F","2800","F","2900","F","2900","F","3000","F","3000","F","3100","F","3100","F","3200","F","3200","F","3300","F","3300","F","3400","F","3500","F","3000","*","4933","*","3500","F","3500","F","3500","F","3600","F","3700","F","3700","F","3700","F","3700","F","3535","Im","3592","Im","3701","Im","4113","Im","4438","Im","4541","Im","4676","Im","4910","Im","4960","Im","4995","Im","5256","Im","5415","Im","4000","F","3870","Im","3869","Im","4255","Im","5355","Im","4798","Im","5548","Im","5917","Im","6600","Im","6600","F","6600","F",
"Sénégal","Miel naturel","Production (tonnes)","90","F","90","F","90","F","90","F","90","F","90","F","90","F","90","F","90","F","90","F","100","F","100","F","100","F","75","F","96"," ","120","F","144"," ","152"," ","160","F","170","F","180","F","190","F","190","F","120","F","37"," ","92"," ","65"," ","85"," ","111"," ","106"," ","114"," ","121"," ","162"," ","180"," ","170"," ","165"," ","192"," ","300"," ","460"," ","500"," ","465","Im","466","Im","451","Im","800"," ","1246"," ","1900"," ","2500"," ","2800"," ","2900","F","3000","F","3100","F","3150","F",
"Sénégal","Cire d'abeille","Production (tonnes)","30","F","30","F","30","F","30","F","30","F","30","F","30","F","30","F","30","F","30","F","33","F","33","F","32","F","26","F","32","F","40","F","48"," ","51"," ","53","F","54","F","60","F","62","F","60","F","40","F","25"," ","35","F","25","F","34"," ","44"," ","40"," ","46"," ","48"," ","65"," ","29"," ","40","F","30","F","33"," ","60"," ","65"," ","71"," ","90","F","95","F","105","F","150","F","230","F","190","F","250","F","280","F","290","F","300","F","300","F","300","F",
"Sénégal","Viande indigène bovins et buffle","Production (Tête)","150000","A","160000","A","182000","A","191500","A","197000","A","202857","A","240000","A","241795","A","250000","A","245000","A","257300","A","262481","A","249727","A","213334","A","230440","A","237820","A","245020","A","258830","A","260017","A","241140","A","274080","A","280080","A","271000","A","267000","A","270500","A","300465","A","307170","A","309315","A","322238","A","332808","A","341309","A","332004","A","340000","A","340000","A","340000","A","340000","A","330000","A","325000","A","311976","A","318460","A","326710","A","246717","A","293991","A","286908","A","318000","A","315733","A","262297","A","232555","A","301321","A","307636","A","230702","A","309455","A",
"Sénégal","Viande indigène bovins et buffle","Rendement/Poids Carcasse (Hg/An)","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1250","Fc","1389","Fc","1405","Fc","1438","Fc","1503","Fc","1435","Fc","1419","Fc","1388","Fc","1449","Fc","1258","Fc","1439","Fc","1482","Fc","1498","Fc","1510","Fc","1510","Fc",
"Sénégal","Viande indigène bovins et buffle","Production (tonnes)","18750","A","20000","A","22750","A","23937.5","A","24625","A","25357.1","A","30000","A","30224.4","A","31250","A","30625","A","32162.5","A","32810.1","A","31215.9","A","26666.8","A","28805","A","29727.5","A","30627.5","A","32353.8","A","32502.1","A","30142.5","A","34260","A","35010","A","33875","A","33375","A","33812.5","A","37558.1","A","38396.3","A","38664.4","A","40279.8","A","41601","A","42663.6","A","41500.5","A","42500","A","42500","A","42500","A","42500","A","41250","A","40625","A","43333.5","A","44743.6","A","46980.9","A","37081.6","A","42187.7","A","40712.2","A","44138.4","A","45749.7","A","32997","A","33464.7","A","44655.8","A","46083.9","A","34836","A","46727.7","A",
"Sénégal","Viande indigène ovin et caprin","Production (Tête)","455000","A","473000","A","489000","A","505000","A","521000","A","538000","A","519960","A","553346","A","574000","A","604000","A","630500","A","666000","A","631200","A","570200","A","588800","A","607000","A","619000","A","655000","A","655000","A","678000","A","723000","A","774000","A","711400","A","700166","A","910000","A","1250000","A","1330000","A","1250000","A","1290000","A","1385000","A","1569000","A","1484500","A","1528500","A","1557500","A","1262250","A","1192000","A","1330000","A","1259000","A","1497760","A","1754460","A","1486980","A","1704490","A","1777380","A","1749860","A","1897470","A","1960170","A","1982770","A","2200880","A","2285810","A","2384430","A","2852750","A","3352020","A",
"Sénégal","Viande indigène ovin et caprin","Rendement/Poids Carcasse (Hg/An)","116.813","Fc","113.679","Fc","110.859","Fc","110.966","Fc","111.881","Fc","112.649","Fc","110.298","Fc","109.47","Fc","109.512","Fc","109.868","Fc","101.57","Fc","101.982","Fc","102.89","Fc","108.937","Fc","112.962","Fc","112.932","Fc","115.808","Fc","120.832","Fc","120.092","Fc","119.926","Fc","122.849","Fc","122.842","Fc","122.57","Fc","120.004","Fc","123.297","Fc","120.16","Fc","119.85","Fc","120.16","Fc","120","Fc","118.484","Fc","118.611","Fc","117.784","Fc","118.266","Fc","118.543","Fc","123.418","Fc","126.04","Fc","124.812","Fc","126.942","Fc","108.269","Fc","107.775","Fc","113.905","Fc","108.076","Fc","109.084","Fc","111.575","Fc","116.262","Fc","118.591","Fc","118.153","Fc","115.707","Fc","111.767","Fc","111.229","Fc","108.036","Fc","108.721","Fc",
"Sénégal","Viande indigène ovin et caprin","Production (tonnes)","5315","A","5377","A","5421","A","5603.8","A","5829","A","6060.52","A","5735.08","A","6057.5","A","6286","A","6636","A","6404","A","6792","A","6494.4","A","6211.6","A","6651.2","A","6855","A","7168.5","A","7914.5","A","7866","A","8131","A","8882","A","9508","A","8719.6","A","8402.24","A","11220","A","15020","A","15940","A","15020","A","15480.1","A","16410","A","18610","A","17485","A","18077","A","18463","A","15578.5","A","15024","A","16600","A","15982","A","16216.2","A","18908.8","A","16937.4","A","18421.4","A","19388.4","A","19524.2","A","22060.4","A","23245.8","A","23427.1","A","25465.7","A","25547.8","A","26521.7","A","30820","A","36443.4","A",
"Sénégal","Viande Total","Production (tonnes)","41805.8","A","44703.8","A","47413","A","51026.4","A","53193","A","56942.6","A","62572.2","A","63691.7","A","65360.8","A","62752.8","A","59278.6","A","60253.5","A","58764.3","A","52915.3","A","55305.2","A","57426","A","61554.8","A","64502","A","66424.5","A","60711.5","A","70449.5","A","71950.3","A","71732.3","A","70927.5","A","75622","A","84419.8","A","83645.8","A","83092.3","A","85535.8","A","89719.3","A","98839.8","A","95838.8","A","97078.3","A","98890.8","A","101055","A","100756","A","103791","A","105018","A","109449","A","116490","A","122020","A","117266","A","115821","A","116825","A","128096","A","136934","A","132285","A","149247","A","156791","A","167546","A","187236","A","206770","A",
"Sénégal","Viande indigènetotal","Production (tonnes)","30200.7","A","33321.6","A","36369.6","A","39045.6","A","40290.6","A","43331.9","A","47874.3","A","48921.6","A","52066.5","A","52299.2","A","54155.9","A","55781.4","A","54285.9","A","50146.8","A","52283.7","A","54198.1","A","57103.9","A","59137.2","A","59596.2","A","57319.7","A","64391.8","A","65198.7","A","62521.1","A","62529.9","A","66994.4","A","77260.6","A","78028.2","A","77535.1","A","81427.6","A","84489.7","A","90212.9","A","89329.3","A","91133","A","92481.8","A","91122.8","A","89673","A","93396.3","A","94510.1","A","100795","A","110116","A","112029","A","103738","A","109760","A","108637","A","118807","A","125840","A","117795","A","125023","A","135499","A","145661","A","149539","A","168977","A",
"Sénégal","Viande indigène volailles","Production (1000 têtes)","1330","A","2754","A","2658","A","2945","A","2850","A","3795","A","3997.89","A","4180","A","4465","A","4600","A","4890","A","5205","A","5540","A","5890","A","6150","A","6460","A","7990","A","7120","A","7504","A","8003","A","8368","A","9120","A","8250","A","8895","A","9310","A","11685","A","9975","A","11308","A","12157","A","12349","A","13910","A","14740","A","14539","A","14981","A","16360","A","15088","A","17616","A","19368","A","20435","A","22123","A","23106","A","22990","A","24295","A","24559","A","26754","A","28624","A","32071","A","34727","A","33940","A","38142","A","41664","A","42344","A",
"Sénégal","Viande indigène volailles","Production (tonnes)","1330","A","2754","A","2658","A","2945","A","2850","A","3795","A","3998","A","4180","A","4465","A","4600","A","4890","A","5205","A","5540","A","5890","A","6150","A","6460","A","7990","A","7120","A","7504","A","8003","A","8368","A","9120","A","8250","A","8895","A","9310","A","11685","A","9975","A","11308","A","12157","A","12349","A","13910","A","14740","A","14539","A","14981","A","16360","A","15088","A","17616","A","19368","A","21088.9","A","23001.3","A","24131.9","A","23737.2","A","25019","A","25750.1","A","28990.6","A","31532.2","A","36612.3","A","41009.1","A","39343.2","A","45419.5","A","55729.8","A","56635.1","A",
"Sénégal","Lait total","Animaux laitiers (Tête)","410700","A","433100","A","467550","A","487750","A","501363","A","627050","A","664120","A","682630","A","698000","A","718000","A","751000","A","687000","A","655000","A","667200","A","696395","A","716950","A","731450","A","766350","A","746500","A","761200","A","778600","A","814000","A","783000","A","770000","A","947700","A","1167970","A","1134770","A","1064220","A","1106220","A","1139700","A","1179290","A","1230040","A","1276200","A","1496530","A","1525060","A","1573110","A","1626360","A","1437200","A","1709590","A","1746090","A","1795730","A","1370760","A","1556650","A","1588000","A","1628930","A","1679570","A","1751030","A","1768950","A","2108550","A","2157150","A","2221760","A","2323690","A",
"Sénégal","Lait total","Rendement (Hg/An)","1797.88","Fc","1816.25","Fc","1899.28","Fc","1920.4","Fc","1916.71","Fc","1623.33","Fc","1464.83","Fc","1471.54","Fc","1468.62","Fc","1433.29","Fc","1416.38","Fc","1288.21","Fc","1268.7","Fc","1211.69","Fc","1299.38","Fc","1328.67","Fc","1300.83","Fc","1346.34","Fc","1352.31","Fc","1283.82","Fc","1182.53","Fc","1171.74","Fc","1211.75","Fc","1142.86","Fc","989.279","Fc","846.895","Fc","865.821","Fc","909.96","Fc","883.005","Fc","819.697","Fc","814.015","Fc","808.902","Fc","801.436","Fc","726.094","Fc","723.623","Fc","721.299","Fc","715.732","Fc","777.615","Fc","693.598","Fc","699.261","Fc","697.589","Fc","762.538","Fc","730.583","Fc","740.763","Fc","734.317","Fc","736.844","Fc","807.798","Fc","849.526","Fc","814.31","Fc","863.866","Fc","855.318","Fc","869.307","Fc",
"Sénégal","Lait total","Production (tonnes)","73839","A","78662","A","88801","A","93667.5","A","96096.8","A","101791","A","97282","A","100452","A","102510","A","102910","A","106370","A","88500","A","83100","A","80844","A","90488","A","95259","A","95149","A","103177","A","100950","A","97724","A","92072","A","95380","A","94880","A","88000","A","93754","A","98915","A","98251","A","96840","A","97680","A","93421","A","95996","A","99498","A","102279","A","108662","A","110357","A","113468","A","116404","A","111759","A","118577","A","122097","A","125268","A","104526","A","113726","A","117633","A","119615","A","123758","A","141448","A","150277","A","171701","A","186349","A","190031","A","202000","A",
"Sénégal","Oeufs Naturels","Pondeuses (1000 têtes)","1340","A","1752","A","1760","A","1732","A","1900","A","2292","A","2320","A","2280","A","2240","A","2200","A","2120","A","2240","A","2200","A","2320","A","2480","A","2628","A","2720","A","2860","A","3000","A","3160","A","3370","A","3520","A","3880","A","4000","A","4000","A","3500","A","3500","A","4000","A","4000","A","3600","A","3500","A","3200","A","3100","A","3100","A","3000","A","2800","A","2800","A","2700","A","2700","A","3500","A","4100","A","4200","A","4600","A","4860","A","5440","A","6130","A","5800","A","8500","A","7000","A","7500","A","7800","A","7200","A",
"Sénégal","Oeufs Naturels","Rendement (100Mg/An)","17500","Fc","17500","Fc","17500","Fc","18187.1","Fc","17500","Fc","17504.4","Fc","17000","Fc","18000","Fc","18000","Fc","18000","Fc","18000","Fc","18000","Fc","19000","Fc","19000","Fc","20000","Fc","20000","Fc","20000","Fc","20000","Fc","20000","Fc","20000","Fc","20000","Fc","20000","Fc","20000","Fc","20000","Fc","21000","Fc","24714.3","Fc","26571.4","Fc","26625","Fc","28250","Fc","30555.6","Fc","31571.4","Fc","32968.8","Fc","33871","Fc","36451.6","Fc","38333.3","Fc","39285.7","Fc","41221.4","Fc","41459.3","Fc","41029.6","Fc","29828.6","Fc","35931.7","Fc","40461.9","Fc","38582.6","Fc","40576.1","Fc","37209.6","Fc","35102.8","Fc","41800","Fc","43056.5","Fc","38031.4","Fc","36501.3","Fc","37105.1","Fc","38033.3","Fc",
